Start Position,End Position,Annotation,Group
1725,1737,MEDICATION,1_CBB461
2080,2089,MEDICATION,1_ABA345
2090,2096,DOSE,1_ABA345
2155,2158,MODE,1_ABA345
2129,2143,FREQUENCY,1_ABA345
2159,2166,REASON,1_ABA345
2173,2184,MEDICATION,2_CCB077
2185,2192,DOSE,2_CCB077
2121,2123,MODE,2_CCB077
2223,2226,FREQUENCY,2_CCB077
2250,2262,MEDICATION,1_CCC674
2279,2293,DOSE,1_CCC674
2294,2296,MODE,1_CCC674
2297,2310,FREQUENCY,1_CCC674
2318,2330,MEDICATION,2_AAB337
2331,2337,DOSE,2_AAB337
2365,2367,MODE,2_AAB337
2368,2382,FREQUENCY,2_AAB337
2389,2399,MEDICATION,3_BCB340
2400,2404,DOSE,3_BCB340
2432,2434,MODE,3_BCB340
2435,2448,FREQUENCY,3_BCB340
2456,2481,MEDICATION,1_ABA582
2482,2488,DOSE,1_ABA582
2513,2515,MODE,1_ABA582
2517,2536,FREQUENCY,1_ABA582
2537,2546,DURATION,1_ABA582
2551,2555,REASON,1_ABA582
