Start Position,End Position,Annotation,Group
182,201,MEDICATION,1_ABB249
170,179,REASON,1_ABB249
509,527,REASON,1_AAA580
2255,2263,MEDICATION,1_ABA213
2725,2750,MEDICATION,1_ABB972
2676,2692,REASON,1_ABB972
3638,3647,MEDICATION,1_CCA445
4123,4144,MEDICATION,1_ABC515
4145,4151,DOSE,1_ABC515
4152,4156,MODE,1_ABC515
4157,4162,FREQUENCY,1_ABC515
4167,4185,MEDICATION,2_CCA060
4186,4193,DOSE,2_CCA060
4194,4196,MODE,2_CCA060
4197,4200,FREQUENCY,2_CCA060
4205,4219,MEDICATION,3_AAA883
4220,4226,DOSE,3_AAA883
4227,4229,MODE,3_AAA883
4230,4235,FREQUENCY,3_AAA883
4240,4253,MEDICATION,1_BAB748
4254,4259,DOSE,1_BAB748
4260,4262,MODE,1_BAB748
4263,4268,FREQUENCY,1_BAB748
