Start Position,End Position,Annotation,Group
634,647,MEDICATION,1_CBC771
570,575,REASON,1_CBC771
664,686,FREQUENCY,1_BAC322
770,784,MEDICATION,1_BAC322
3891,3914,REASON,1_CBC044
3919,3935,MEDICATION,1_CBC044
4351,4367,MEDICATION,1_BCC847
4584,4592,MEDICATION,1_CAA865
4597,4600,MEDICATION,2_ACB224
5467,5483,MEDICATION,1_CAA634
6111,6125,MEDICATION,1_BCB827
6127,6139,DOSE,1_BCB827
6141,6160,DURATION,1_BCB827
6162,6168,MEDICATION,2_BBB488
6170,6178,DOSE,2_BBB488
6196,6199,FREQUENCY,2_BBB488
6200,6209,MEDICATION,3_ACB818
6210,6213,FREQUENCY,3_ACB818
6243,6252,MEDICATION,1_BBC090
6278,6292,DOSE,1_BBC090
6293,6295,MODE,1_BBC090
6296,6316,FREQUENCY,1_BBC090
6351,6360,MEDICATION,1_AAC661
6379,6389,DOSE,1_AAC661
6390,6392,MODE,1_AAC661
6393,6419,FREQUENCY,1_AAC661
6420,6432,REASON,1_AAC661
6439,6449,MEDICATION,2_BAA532
6468,6482,DOSE,2_BAA532
6483,6485,MODE,2_BAA532
6486,6500,FREQUENCY,2_BAA532
6536,6550,MEDICATION,1_BAC560
6551,6556,DOSE,1_BAC560
6584,6586,MODE,1_BAC560
6587,6592,FREQUENCY,1_BAC560
6638,6650,MEDICATION,2_CBC618
6651,6657,DOSE,2_CBC618
6685,6687,MODE,2_CBC618
6688,6693,FREQUENCY,2_CBC618
6836,6848,MEDICATION,1_BBB001
6849,6854,DOSE,1_BBB001
6931,6933,MODE,1_BBB001
6934,6955,FREQUENCY,1_BBB001
6836,6848,MEDICATION,2_BCB339
6891,6899,DOSE,2_BCB339
6931,6933,MODE,2_BCB339
6934,6955,FREQUENCY,2_BCB339
7421,7435,REASON,1_BAB643
7458,7467,MEDICATION,1_BAB643
7492,7501,FREQUENCY,1_BAB643
7691,7719,MEDICATION,1_ABC331
7738,7751,REASON,1_ABC331
7848,7912,REASON,1_BCB162
8050,8075,MEDICATION,1_BAA219
8089,8098,MEDICATION,2_ABC781
8100,8110,MEDICATION,3_CAC910
8116,8130,MEDICATION,4_BBA245
8193,8199,MEDICATION,1_BBB270
8211,8219,MEDICATION,2_AAB947
8220,8261,DURATION,2_AAB947
8262,8308,REASON,2_AAB947
